Student_ID,Grade,Subject,Feedback_Text,Sentiment_Label
STU10212,Grade 7,Tamil,This subject is taught in a clear and understandable way.,Positive
STU10213,Grade 9,English,Classes are average and sometimes interesting.,Neutral
STU10214,Grade 8,Social Science,The subject is okay but could be taught better.,Neutral
STU10215,Grade 8,Tamil,The teacher uses examples that make learning easy.,Positive
STU10216,Grade 6,Science,I feel confused during many classes.,Negative
STU10217,Grade 6,Mathematics,I feel confused during many classes.,Negative
STU10218,Grade 10,Mathematics,The subject is manageable but not very interesting.,Neutral
STU10219,Grade 7,Tamil,The teaching style needs improvement.,Negative
STU10220,Grade 8,Tamil,This subject is taught in a clear and understandable way.,Positive
STU10221,Grade 10,Social Science,I feel confused during many classes.,Negative
STU10222,Grade 10,Science,The teacher explains lessons clearly and makes the class interesting.,Positive
STU10223,Grade 7,English,Classes are average and sometimes interesting.,Neutral
STU10224,Grade 6,Mathematics,The subject is okay but could be taught better.,Neutral
STU10225,Grade 10,Mathematics,I feel confused during many classes.,Negative
STU10226,Grade 8,Social Science,Lessons are acceptable but can be improved.,Neutral
STU10227,Grade 6,Tamil,I feel confused during many classes.,Negative
STU10228,Grade 10,Social Science,More examples are needed to understand the lessons.,Negative
STU10229,Grade 9,Mathematics,Classes are sometimes boring and difficult to follow.,Negative
STU10230,Grade 6,Mathematics,Teaching is neither very good nor very bad.,Neutral
STU10231,Grade 6,English,Classes are engaging and doubts are explained patiently.,Positive
STU10232,Grade 6,Science,Classes are sometimes boring and difficult to follow.,Negative
STU10233,Grade 9,English,Teaching is neither very good nor very bad.,Neutral
STU10234,Grade 9,Mathematics,Teaching is neither very good nor very bad.,Neutral
STU10235,Grade 10,Science,I feel confused during many classes.,Negative
STU10236,Grade 7,Social Science,Classes are engaging and doubts are explained patiently.,Positive
STU10237,Grade 10,Science,The subject is manageable but not very interesting.,Neutral
STU10238,Grade 8,Tamil,I enjoy this subject because the teacher teaches very well.,Positive
STU10239,Grade 8,Social Science,The subject is manageable but not very interesting.,Neutral
STU10240,Grade 8,English,The subject is okay but could be taught better.,Neutral
STU10241,Grade 10,Mathematics,This subject is taught in a clear and understandable way.,Positive
STU10242,Grade 6,Tamil,Classes are average and sometimes interesting.,Neutral
STU10243,Grade 8,Mathematics,Classes are engaging and doubts are explained patiently.,Positive
STU10244,Grade 6,Mathematics,This subject is taught in a clear and understandable way.,Positive
STU10245,Grade 10,English,Classes are engaging and doubts are explained patiently.,Positive
STU10246,Grade 10,Mathematics,Teaching is neither very good nor very bad.,Neutral
STU10247,Grade 7,Social Science,The teaching style needs improvement.,Negative
STU10248,Grade 10,Science,The subject is okay but could be taught better.,Neutral
STU10249,Grade 8,Tamil,More examples are needed to understand the lessons.,Negative
STU10250,Grade 6,Tamil,Classes are engaging and doubts are explained patiently.,Positive
STU10251,Grade 6,Science,The subject is okay but could be taught better.,Neutral
STU10252,Grade 9,English,This subject is taught in a clear and understandable way.,Positive
STU10253,Grade 10,English,More examples are needed to understand the lessons.,Negative
STU10254,Grade 8,Social Science,Classes are average and sometimes interesting.,Neutral
STU10255,Grade 9,Social Science,Teaching is neither very good nor very bad.,Neutral
STU10256,Grade 7,Mathematics,I feel confused during many classes.,Negative
STU10257,Grade 7,English,The teaching style needs improvement.,Negative
STU10258,Grade 7,Mathematics,Classes are average and sometimes interesting.,Neutral
STU10259,Grade 8,Social Science,This subject is taught in a clear and understandable way.,Positive
STU10260,Grade 9,Social Science,The subject is manageable but not very interesting.,Neutral
STU10261,Grade 6,English,I feel confused during many classes.,Negative
STU10262,Grade 8,Tamil,Classes are average and sometimes interesting.,Neutral
STU10263,Grade 7,English,More examples are needed to understand the lessons.,Negative
STU10264,Grade 10,English,Classes are sometimes boring and difficult to follow.,Negative
STU10265,Grade 9,Science,The teacher explains too fast and it is hard to understand.,Negative
STU10266,Grade 10,Tamil,The teacher explains lessons clearly and makes the class interesting.,Positive
STU10267,Grade 9,Social Science,More examples are needed to understand the lessons.,Negative
STU10268,Grade 8,English,Lessons are acceptable but can be improved.,Neutral
STU10269,Grade 7,Mathematics,Classes are sometimes boring and difficult to follow.,Negative
STU10270,Grade 6,English,The teacher explains too fast and it is hard to understand.,Negative
STU10271,Grade 6,Social Science,Classes are engaging and doubts are explained patiently.,Positive
STU10272,Grade 10,Tamil,The teacher explains too fast and it is hard to understand.,Negative
STU10273,Grade 10,Social Science,The subject is manageable but not very interesting.,Neutral
STU10274,Grade 7,Science,Lessons are acceptable but can be improved.,Neutral
STU10275,Grade 7,English,The teacher explains too fast and it is hard to understand.,Negative
STU10276,Grade 6,Mathematics,Classes are sometimes boring and difficult to follow.,Negative
STU10277,Grade 8,Social Science,More examples are needed to understand the lessons.,Negative
STU10278,Grade 8,Tamil,Lessons are acceptable but can be improved.,Neutral
STU10279,Grade 8,Social Science,The teacher explains lessons clearly and makes the class interesting.,Positive
STU10280,Grade 6,Social Science,The subject is manageable but not very interesting.,Neutral
STU10281,Grade 8,Science,The teacher explains lessons clearly and makes the class interesting.,Positive
STU10282,Grade 8,English,The teacher uses examples that make learning easy.,Positive
STU10283,Grade 6,Social Science,Classes are engaging and doubts are explained patiently.,Positive
STU10284,Grade 7,Tamil,Classes are average and sometimes interesting.,Neutral
STU10285,Grade 7,Science,Classes are engaging and doubts are explained patiently.,Positive
STU10286,Grade 6,English,The teaching style needs improvement.,Negative
STU10287,Grade 6,English,I enjoy this subject because the teacher teaches very well.,Positive
STU10288,Grade 8,Social Science,The teacher explains too fast and it is hard to understand.,Negative
STU10289,Grade 6,Social Science,Classes are average and sometimes interesting.,Neutral
STU10290,Grade 6,Science,The subject is okay but could be taught better.,Neutral
STU10291,Grade 6,Mathematics,Teaching is neither very good nor very bad.,Neutral
STU10292,Grade 6,Social Science,The subject is okay but could be taught better.,Neutral
STU10293,Grade 8,Science,The teacher explains lessons clearly and makes the class interesting.,Positive
STU10294,Grade 8,Social Science,More examples are needed to understand the lessons.,Negative
STU10295,Grade 7,Science,The teacher uses examples that make learning easy.,Positive
STU10296,Grade 8,Mathematics,Classes are sometimes boring and difficult to follow.,Negative
STU10297,Grade 10,English,I enjoy this subject because the teacher teaches very well.,Positive
STU10298,Grade 6,Science,Teaching is neither very good nor very bad.,Neutral
STU10299,Grade 7,Tamil,The teacher uses examples that make learning easy.,Positive
STU10300,Grade 6,Science,Teaching is neither very good nor very bad.,Neutral
STU10301,Grade 6,English,The teaching style needs improvement.,Negative
STU10302,Grade 6,English,Teaching is neither very good nor very bad.,Neutral
STU10303,Grade 8,Tamil,This subject is taught in a clear and understandable way.,Positive
STU10304,Grade 10,English,Classes are engaging and doubts are explained patiently.,Positive
STU10305,Grade 9,Social Science,Lessons are acceptable but can be improved.,Neutral
STU10306,Grade 6,Tamil,This subject is taught in a clear and understandable way.,Positive
STU10307,Grade 6,English,The teaching style needs improvement.,Negative
STU10308,Grade 9,English,The subject is okay but could be taught better.,Neutral
STU10309,Grade 10,English,Teaching is neither very good nor very bad.,Neutral
STU10310,Grade 10,Mathematics,More examples are needed to understand the lessons.,Negative
STU10311,Grade 10,Science,I feel confused during many classes.,Negative
STU10312,Grade 8,Tamil,The teacher uses examples that make learning easy.,Positive
STU10313,Grade 8,Science,Classes are sometimes boring and difficult to follow.,Negative
STU10314,Grade 8,Tamil,The teacher uses examples that make learning easy.,Positive
STU10315,Grade 6,Tamil,This subject is taught in a clear and understandable way.,Positive
STU10316,Grade 10,English,This subject is taught in a clear and understandable way.,Positive
STU10317,Grade 8,Science,Classes are engaging and doubts are explained patiently.,Positive
STU10318,Grade 8,Mathematics,Lessons are acceptable but can be improved.,Neutral
STU10319,Grade 8,English,Classes are engaging and doubts are explained patiently.,Positive
STU10320,Grade 6,English,The teacher uses examples that make learning easy.,Positive
STU10321,Grade 6,Tamil,Classes are engaging and doubts are explained patiently.,Positive
STU10322,Grade 9,Social Science,Teaching is neither very good nor very bad.,Neutral
STU10323,Grade 6,Tamil,The subject is okay but could be taught better.,Neutral
STU10324,Grade 9,Social Science,This subject is taught in a clear and understandable way.,Positive
STU10325,Grade 8,English,Lessons are acceptable but can be improved.,Neutral
STU10326,Grade 9,Tamil,I feel confused during many classes.,Negative
STU10327,Grade 9,English,Lessons are acceptable but can be improved.,Neutral
STU10328,Grade 7,Tamil,More examples are needed to understand the lessons.,Negative
STU10329,Grade 7,Science,This subject is taught in a clear and understandable way.,Positive
STU10330,Grade 9,Tamil,The subject is manageable but not very interesting.,Neutral
STU10331,Grade 10,English,Classes are engaging and doubts are explained patiently.,Positive
STU10332,Grade 6,English,Lessons are acceptable but can be improved.,Neutral
STU10333,Grade 10,Social Science,The teacher explains lessons clearly and makes the class interesting.,Positive
STU10334,Grade 10,Science,I feel confused during many classes.,Negative
STU10335,Grade 9,Tamil,The subject is manageable but not very interesting.,Neutral
STU10336,Grade 8,Tamil,Classes are average and sometimes interesting.,Neutral
STU10337,Grade 9,Tamil,Classes are sometimes boring and difficult to follow.,Negative
STU10338,Grade 8,Science,Teaching is neither very good nor very bad.,Neutral
STU10339,Grade 7,Social Science,The teaching style needs improvement.,Negative
STU10340,Grade 10,Mathematics,This subject is taught in a clear and understandable way.,Positive
STU10341,Grade 6,Mathematics,The teacher explains lessons clearly and makes the class interesting.,Positive
STU10342,Grade 10,Science,This subject is taught in a clear and understandable way.,Positive
STU10343,Grade 10,Science,Classes are average and sometimes interesting.,Neutral
STU10344,Grade 7,Science,The teaching style needs improvement.,Negative
STU10345,Grade 7,Mathematics,This subject is taught in a clear and understandable way.,Positive
STU10346,Grade 7,Tamil,The teacher uses examples that make learning easy.,Positive
STU10347,Grade 8,Tamil,More examples are needed to understand the lessons.,Negative
STU10348,Grade 6,English,The teaching style needs improvement.,Negative
STU10349,Grade 7,English,The teaching style needs improvement.,Negative
STU10350,Grade 10,Mathematics,This subject is taught in a clear and understandable way.,Positive
STU10351,Grade 7,Social Science,The subject is manageable but not very interesting.,Neutral
STU10352,Grade 10,Tamil,The subject is okay but could be taught better.,Neutral
STU10353,Grade 6,English,I enjoy this subject because the teacher teaches very well.,Positive
STU10354,Grade 6,Mathematics,Lessons are acceptable but can be improved.,Neutral
STU10355,Grade 10,Mathematics,Lessons are acceptable but can be improved.,Neutral
STU10356,Grade 8,Mathematics,More examples are needed to understand the lessons.,Negative
STU10357,Grade 8,Tamil,The teacher explains lessons clearly and makes the class interesting.,Positive
STU10358,Grade 9,Science,Classes are sometimes boring and difficult to follow.,Negative
STU10359,Grade 10,Tamil,Classes are sometimes boring and difficult to follow.,Negative
STU10360,Grade 10,Social Science,More examples are needed to understand the lessons.,Negative
STU10361,Grade 10,Science,The teacher uses examples that make learning easy.,Positive
STU10362,Grade 7,Tamil,I feel confused during many classes.,Negative
STU10363,Grade 10,English,Teaching is neither very good nor very bad.,Neutral
STU10364,Grade 10,Mathematics,The teacher explains too fast and it is hard to understand.,Negative
STU10365,Grade 8,Tamil,This subject is taught in a clear and understandable way.,Positive
STU10366,Grade 10,Tamil,I enjoy this subject because the teacher teaches very well.,Positive
STU10367,Grade 6,English,The teaching style needs improvement.,Negative
STU10368,Grade 8,Mathematics,Classes are sometimes boring and difficult to follow.,Negative
STU10369,Grade 6,Science,More examples are needed to understand the lessons.,Negative
STU10370,Grade 6,Science,The subject is okay but could be taught better.,Neutral
STU10371,Grade 9,Social Science,Teaching is neither very good nor very bad.,Neutral
STU10372,Grade 7,Tamil,More examples are needed to understand the lessons.,Negative
STU10373,Grade 6,Mathematics,The subject is okay but could be taught better.,Neutral
STU10374,Grade 10,Social Science,The teacher explains lessons clearly and makes the class interesting.,Positive
STU10375,Grade 9,Science,The subject is okay but could be taught better.,Neutral
STU10376,Grade 10,Mathematics,This subject is taught in a clear and understandable way.,Positive
STU10377,Grade 8,Social Science,The teacher explains too fast and it is hard to understand.,Negative
STU10378,Grade 7,Tamil,Lessons are acceptable but can be improved.,Neutral
STU10379,Grade 10,Mathematics,This subject is taught in a clear and understandable way.,Positive
STU10380,Grade 9,Tamil,The teaching style needs improvement.,Negative
STU10381,Grade 7,English,This subject is taught in a clear and understandable way.,Positive
STU10382,Grade 10,Tamil,Classes are average and sometimes interesting.,Neutral
STU10383,Grade 10,Mathematics,Classes are average and sometimes interesting.,Neutral
STU10384,Grade 8,Science,Classes are engaging and doubts are explained patiently.,Positive
STU10385,Grade 8,Science,The teacher explains lessons clearly and makes the class interesting.,Positive
STU10386,Grade 9,Tamil,The teaching style needs improvement.,Negative
STU10387,Grade 7,Tamil,The teaching style needs improvement.,Negative
STU10388,Grade 10,English,Lessons are acceptable but can be improved.,Neutral
